id,kcbs_competition_id,name,location,state,start_date,is_state_championship,prize_amount,percent_judges_certified,created_at,updated_at
1,614,Gator Hammock Wild Pig & Pepper Jam,"Felda, FL",FL,2007-01-01,true,,,2018-11-17 23:04:25,2018-11-17 23:04:25
2,621,North Kansas City BBQ,"North Kansas City, MO",MO,2007-03-09,true,,,2018-11-17 23:04:25,2018-11-17 23:04:25
3,624,Smokin Red Dirt Cookoff,"Enid, OK",OK,2007-04-13,true,,,2018-11-17 23:04:25,2018-11-17 23:04:25
4,625,Smoke in the Spring,"Osage City, KS",KS,2007-04-13,true,,,2018-11-17 23:04:26,2018-11-17 23:04:26
5,626,BBQ'n at the Autry,"Los Angeles, CA",CA,2007-04-13,true,,,2018-11-17 23:04:26,2018-11-17 23:04:26
6,627,"Fire Up Your Grill, Benton County Ducks Unlimited","Bentonville, AR",AR,2007-04-20,true,,,2018-11-17 23:04:26,2018-11-17 23:04:26
7,628,Rock n' Ribs BBQ Festival,"Springfield, MO",MO,2007-04-20,true,,,2018-11-17 23:04:27,2018-11-17 23:04:27
8,629,Marshall Rotary Club Cookoff,"Marshall, MO",MO,2007-04-20,true,,,2018-11-17 23:04:27,2018-11-17 23:04:27
9,630,KSU Wildcat BBQ,"Manhattan, KS",KS,2007-04-20,true,,,2018-11-17 23:04:27,2018-11-17 23:04:27
10,631,11th Annual Kings Mountain Firehouse Cookoff,"Kings Mountain, NC",NC,2007-04-20,true,,,2018-11-17 23:04:28,2018-11-17 23:04:28
11,632,Smokin in the Creek,"Sugar Creek, MO",MO,2007-04-27,true,,,2018-11-17 23:04:28,2018-11-17 23:04:28
12,633,Osage River Bottoms BBQ & Blues Festival,"Warsaw, MO",MO,2007-04-27,true,,,2018-11-17 23:04:28,2018-11-17 23:04:28
13,634,"Brew, Blues & BBQ","Lansing, KS",KS,2007-05-04,true,,,2018-11-17 23:04:29,2018-11-17 23:04:29
14,635,Bixby BBQ & Blues Festival,"Bixby, OK",OK,2007-05-11,true,,,2018-11-17 23:04:29,2018-11-17 23:04:29
15,636,SunDrop Country BBQ Cookoff,"Pulaski, TN",TN,2007-05-11,true,,,2018-11-17 23:04:29,2018-11-17 23:04:29
16,637,Carolina Smokin' Fall Fling,"Lumberton, NC",NC,2007-11-09,true,,,2018-11-17 23:04:30,2018-11-17 23:04:30
